 	X	Y
1	1060	1299
2	648	1297
3	728	1263
4	950	1260
5	611	1258
6	792	1253
7	935	1244
8	746	1243
9	465	1241
10	597	1240
11	627	1235
12	408	1234
13	649	1231
14	791	1230
15	569	1227
16	934	1223
17	831	1221
18	487	1220
19	602	1218
20	393	1218
21	372	1216
22	538	1214
23	772	1213
24	733	1212
25	854	1210
26	439	1209
27	589	1207
28	630	1206
29	887	1204
30	407	1202
31	492	1200
32	707	1196
33	570	1197
34	674	1196
35	536	1191
36	394	1191
37	739	1184
38	508	1174
39	368	1174
40	389	1173
41	711	1168
42	486	1168
43	1087	1167
44	894	1165
45	469	1165
46	801	1161
47	851	1161
48	919	1156
49	360	1153
50	942	1150
51	650	1150
52	680	1147
53	460	1147
54	338	1147
55	309	1144
56	577	1142
57	746	1137
58	548	1137
59	285	1132
60	596	1128
61	400	1126
62	874	1122
63	762	1121
64	902	1115
65	1170	1113
66	368	1110
67	301	1108
68	402	1105
69	1043	1094
70	948	1103
71	249	1103
72	327	1094
73	382	1092
74	1091	1084
75	355	1082
76	315	1080
77	294	1079
78	659	1077
79	227	1072
80	250	1071
81	1051	1066
82	334	1060
83	621	1049
84	228	1045
85	315	1044
86	1114	1043
87	673	1043
88	881	1036
89	253	1033
90	225	1024
91	639	1022
92	331	1020
93	200	1017
94	300	1014
95	254	1011
96	408	1004
97	778	1002
98	177	1002
99	1114	1000
100	275	994
101	210	991
102	234	990
103	502	989
104	464	980
105	160	979
106	254	974
107	341	971
108	199	971
109	180	967
110	224	961
111	275	959
112	145	951
113	164	942
114	383	942
115	185	940
116	339	937
117	205	932
118	228	931
119	543	930
120	359	924
121	155	915
122	133	909
123	310	907
124	182	908
125	235	900
126	208	892
127	300	890
128	170	890
129	1051	885
130	147	882
131	126	877
132	107	873
133	238	872
134	278	869
135	176	867
136	196	861
137	148	853
138	129	844
139	169	841
140	509	840
141	112	837
142	267	837
143	1268	836
144	189	835
145	112	819
146	171	815
147	144	813
148	317	807
149	110	799
150	131	795
151	152	795
152	205	792
153	1299	775
154	109	775
155	311	769
156	136	767
157	165	765
158	200	764
159	183	750
160	115	749
161	145	740
162	209	733
163	189	722
164	132	722
165	1106	714
166	201	703
167	96	693
168	236	692
169	136	691
170	118	685
171	216	683
172	461	679
173	312	674
174	1310	671
175	194	670
176	152	663
177	257	658
178	1211	657
179	132	656
180	105	650
181	204	645
182	300	640
183	176	635
184	153	630
185	255	622
186	1256	619
187	129	617
188	195	606
189	1199	603
190	163	601
191	227	596
192	273	591
193	136	589
194	247	584
195	1016	575
196	1229	571
197	420	570
198	210	570
199	179	570
200	1157	567
201	130	563
202	238	554
203	272	553
204	1253	548
205	190	547
206	1191	544
207	484	541
208	154	539
209	219	536
210	255	531
211	200	528
212	284	527
213	1241	525
214	1217	520
215	141	519
216	1133	519
217	1045	517
218	173	517
219	1200	507
220	221	504
221	1015	502
222	295	502
223	260	501
224	158	493
225	326	486
226	206	487
227	394	485
228	1082	484
229	140	479
230	1017	477
231	181	469
232	278	464
233	235	459
234	317	456
235	1200	451
236	261	448
237	172	449
238	201	448
239	1213	438
240	1006	437
241	969	436
242	1116	429
243	284	429
244	1050	426
245	311	426
246	190	420
247	638	416
248	374	414
249	244	410
250	886	407
251	277	406
252	1103	406
253	994	404
254	328	402
255	431	401
256	971	398
257	394	391
258	259	390
259	212	389
260	853	389
261	1054	386
262	311	383
263	1159	383
264	1114	379
265	291	377
266	234	377
267	942	377
268	351	371
269	377	367
270	1037	366
271	272	362
272	999	358
273	428	357
274	906	354
275	226	352
276	397	342
277	295	342
278	835	339
279	709	338
280	854	337
281	324	335
282	473	333
283	225	329
284	544	329
285	378	328
286	748	326
287	1076	324
288	406	322
289	1133	322
290	871	322
291	295	321
292	585	318
293	511	318
294	434	318
295	911	315
296	949	313
297	265	313
298	327	310
299	469	309
300	830	309
301	1076	303
302	305	302
303	676	302
304	624	300
305	281	299
306	602	295
307	388	294
308	489	292
309	567	290
310	349	291
311	953	289
312	1112	288
313	658	288
314	264	285
315	512	281
316	1003	278
317	979	275
318	549	272
319	629	271
320	310	270
321	892	269
322	382	268
323	466	267
324	582	263
325	509	261
326	999	260
327	773	259
328	436	257
329	294	257
330	369	255
331	1032	255
332	1052	254
333	337	252
334	935	252
335	398	250
336	867	246
337	503	245
338	454	244
339	800	242
340	715	242
341	484	238
342	836	236
343	660	234
344	691	233
345	596	232
346	363	232
347	398	231
348	325	231
349	957	231
350	999	229
351	754	227
352	418	223
353	624	220
354	899	218
355	819	218
356	543	218
357	515	216
358	343	216
359	574	213
360	472	213
361	386	213
362	714	211
363	646	209
364	1036	209
365	950	206
366	929	206
367	998	204
368	872	203
369	619	199
370	772	199
371	733	196
372	686	197
373	502	195
374	588	194
375	429	194
376	664	191
377	557	190
378	531	187
379	406	188
380	965	186
381	706	182
382	883	181
383	833	180
384	792	178
385	938	177
386	763	176
387	850	174
388	643	173
389	583	170
390	436	169
391	740	168
392	471	166
393	811	164
394	919	162
395	548	160
