 	X	Y
1	1409	925
2	1411	1349
3	1415	1157
4	1414	180
5	1409	1
6	994	1411
7	1415	844
8	1035	1411
9	837	1411
10	459	1411
11	990	350
12	386	23
13	0	358
14	1063	1093
15	1035	1058
16	1167	953
17	1132	379
18	1227	364
19	1138	307
20	1076	979
21	1218	969
22	1110	711
23	1295	693
24	1113	551
25	365	397
26	566	380
27	1193	361
28	766	1187
29	1012	1176
30	835	1107
31	934	981
32	1047	860
33	1107	813
34	1325	708
35	988	1142
36	1263	829
37	1132	405
38	544	1279
39	677	1250
40	948	922
41	1118	648
42	879	604
43	806	526
44	1177	511
45	842	425
46	864	1134
47	889	1106
48	1064	1011
49	1081	1005
50	801	941
51	992	927
52	894	907
53	1049	907
54	560	906
55	1024	889
56	1086	759
57	983	756
58	1026	694
59	1206	674
60	766	594
61	1075	583
62	953	578
63	1033	486
64	1003	475
65	900	276
66	943	233
67	706	4
68	593	1164
69	455	1144
70	870	1036
71	1225	986
72	837	961
73	1149	951
74	1014	927
75	1132	913
76	1076	881
77	1086	873
78	953	854
79	1045	826
80	1088	826
81	1074	814
82	516	777
83	1025	764
84	1043	667
85	992	609
86	1099	588
87	1050	569
88	936	542
89	1223	534
90	1051	512
91	1095	479
92	1050	477
93	927	417
94	853	408
95	873	363
96	809	306
97	812	262
98	784	195
99	804	117
100	921	1117
101	730	1099
102	1030	1091
103	815	1084
104	1048	1070
105	442	1064
106	999	1061
107	897	1053
108	774	1026
109	1081	1025
110	843	1025
111	991	1013
112	1217	1000
113	1111	969
114	1008	951
115	889	942
116	1041	927
117	892	881
118	1001	844
119	890	844
120	966	832
121	805	812
122	1038	785
123	1214	729
124	998	730
125	1132	725
126	1125	705
127	1191	683
128	1047	682
129	1085	599
130	1035	579
131	1160	546
132	533	537
133	1118	525
134	1164	517
135	1007	506
136	1034	506
137	919	491
138	1008	458
139	881	427
140	686	212
141	686	1134
142	995	1108
143	946	1098
144	841	1084
145	784	1074
146	752	1060
147	737	1031
148	823	1020
149	875	980
150	1128	974
151	1188	959
152	1127	954
153	1052	947
154	856	939
155	1097	921
156	1072	918
157	1072	900
158	774	894
159	1152	891
160	1019	866
161	877	865
162	1083	843
163	1135	843
164	1059	839
165	1010	822
166	844	813
167	991	808
168	1022	804
169	1065	801
170	1089	793
171	906	787
172	1006	781
173	970	778
174	945	763
175	910	761
176	962	756
177	1217	751
178	1120	739
179	846	725
180	968	712
181	1048	709
182	930	706
183	962	697
184	1092	663
185	1292	656
186	1022	657
187	1074	614
188	1211	578
189	827	575
190	905	557
191	857	547
192	968	531
193	1067	524
194	875	496
195	1116	485
196	991	475
197	880	454
198	312	448
199	218	448
200	984	443
201	1000	436
202	952	402
203	1031	396
204	929	383
205	953	343
206	623	152
207	620	1179
208	728	1117
209	981	1103
210	1004	1086
211	563	1079
212	986	1075
213	871	1061
214	794	1060
215	273	1057
216	958	1052
217	920	1047
218	267	1020
219	927	1018
220	750	1010
221	1005	1009
222	778	1007
223	721	1007
224	478	980
225	1045	979
226	934	956
227	781	934
228	1190	927
229	751	928
230	806	915
231	954	900
232	997	899
233	855	891
234	830	889
235	571	887
236	1060	880
237	951	876
238	974	877
239	998	873
240	854	853
241	1125	852
242	707	848
243	1027	847
244	1217	842
245	1176	827
246	872	827
247	887	809
248	949	790
249	793	783
250	1107	776
251	1182	764
252	1121	764
253	1174	757
254	863	744
255	944	728
256	1171	694
257	872	680
258	1133	674
259	978	671
260	803	613
261	1197	603
262	969	601
263	898	599
264	1046	596
265	1174	561
266	1035	553
267	992	551
268	1137	549
269	1060	545
270	1001	530
271	1041	528
272	926	523
273	943	499
274	901	485
275	1134	473
276	1097	462
277	1022	446
278	900	443
279	797	426
280	1012	378
281	497	314
282	471	190
283	510	164
284	738	1179
285	995	1171
286	681	1161
287	491	1134
288	890	1126
289	842	1125
290	961	1115
291	768	1093
292	671	1091
293	1034	1076
294	813	1057
295	587	1058
296	839	1045
297	788	1039
298	949	1014
299	601	1000
300	688	997
301	1119	988
302	656	985
303	851	977
304	780	977
305	1097	971
306	962	971
307	910	950
308	969	920
309	829	917
310	930	913
311	1116	904
312	972	897
313	991	883
314	916	882
315	784	876
316	1139	824
317	1216	823
318	1240	772
319	1103	748
320	929	744
321	892	742
322	973	733
323	1200	731
324	1039	730
325	982	710
326	1270	690
327	1105	687
328	251	676
329	917	668
330	845	667
331	895	655
332	1198	652
333	1061	651
334	1043	636
335	990	636
336	958	627
337	1073	627
338	1060	625
339	1023	625
340	656	621
341	1241	611
342	1048	612
343	1027	604
344	938	592
345	1018	566
346	1065	560
347	1022	538
348	896	533
349	834	528
350	983	515
351	907	516
352	867	515
353	1018	513
354	753	507
355	1131	499
356	935	490
357	860	489
358	838	467
359	908	462
360	793	462
361	1058	454
362	844	449
363	961	421
364	896	421
365	870	406
366	733	402
367	415	385
368	732	375
369	936	370
370	1010	342
371	701	327
372	442	292
373	958	252
374	807	222
375	361	215
376	865	1280
377	614	1254
378	870	1186
379	600	1186
380	952	1178
381	762	1170
382	771	1159
383	1010	1103
384	908	1101
385	755	1080
386	623	1066
387	508	1065
388	647	1059
389	703	1052
390	409	1046
391	1019	1043
392	768	1041
393	857	1040
394	723	1037
395	563	1030
396	806	1022
397	703	1014
398	831	1009
399	620	985
400	757	980
401	989	974
402	727	971
403	892	967
404	801	965
405	498	959
406	921	958
407	977	943
408	947	941
409	494	932
410	842	909
411	723	904
412	1011	900
413	1209	897
414	374	879
415	463	867
416	690	857
417	1026	828
418	604	826
419	983	821
420	681	822
421	624	820
422	929	818
423	771	787
424	987	782
425	929	777
426	842	773
427	1042	772
428	124	769
429	875	761
430	1147	716
431	768	705
432	899	680
433	1011	678
434	935	642
435	814	642
436	1011	633
437	844	627
438	745	621
439	829	614
440	916	595
441	784	592
442	1134	587
443	807	577
444	970	575
445	918	573
446	857	572
447	876	562
448	746	536
449	878	525
450	851	512
451	663	507
452	895	504
453	1108	499
454	835	498
455	352	493
456	1052	496
457	812	487
458	716	482
459	1164	473
460	587	470
461	879	468
462	808	458
463	251	450
464	788	448
465	710	444
466	742	443
467	938	437
468	646	438
469	632	420
470	697	420
471	1088	401
472	1205	388
473	875	382
474	822	380
475	782	369
476	1066	362
477	1102	346
478	991	322
479	924	315
480	981	279
481	951	264
482	901	232
483	581	182
484	615	130
485	817	1174
486	854	1152
487	705	1132
488	945	1114
489	633	1111
490	793	1096
491	611	1093
492	725	1081
493	598	1077
494	477	1071
495	841	1064
496	734	1050
497	555	1047
498	994	1040
499	979	1037
500	876	1021
501	556	1018
502	616	1012
503	632	1007
504	876	1000
505	862	999
506	984	991
507	717	985
508	1029	984
509	870	962
510	745	961
511	412	959
512	1094	955
513	819	952
514	648	942
515	480	942
516	686	927
517	862	918
518	919	899
519	421	885
520	742	879
521	818	876
522	413	863
523	808	860
524	544	855
525	786	846
526	504	819
527	529	806
528	357	796
529	441	754
530	547	740
531	507	733
532	1020	722
533	888	712
534	631	710
535	949	710
536	488	704
537	1219	704
538	808	680
539	913	631
540	264	618
541	850	592
542	1238	565
543	843	561
544	382	555
545	824	554
546	798	549
547	614	549
548	1091	546
549	577	537
550	317	528
551	715	515
552	405	514
553	817	510
554	961	509
555	695	504
556	242	490
557	978	490
558	653	489
559	547	472
560	925	469
561	443	456
562	765	454
563	1184	449
564	1036	444
565	688	444
566	451	437
567	863	436
568	592	436
569	759	433
