 	X	Y
1	1118	954
2	1181	922
3	1110	756
4	1123	1127
5	1218	1047
6	1301	646
7	1196	892
8	1188	820
9	1194	690
10	1135	542
11	1158	1064
12	1160	1097
13	1178	847
14	1245	723
15	994	1003
16	985	941
17	1225	498
18	1174	401
19	1082	214
20	985	300
21	1058	1145
22	909	776
23	1110	464
24	1067	453
25	858	1301
26	835	1277
27	812	1124
28	1164	877
29	637	861
30	981	471
31	1001	954
32	840	826
33	1176	312
34	998	1087
35	1029	932
36	942	882
37	647	680
38	1105	600
39	689	1221
40	620	1099
41	956	1080
42	1003	1029
43	1022	809
44	921	336
45	908	181
46	509	1268
47	908	1078
48	1013	1074
49	974	1057
50	1022	1057
51	1025	1036
52	1042	995
53	925	903
54	1146	878
55	1145	840
56	1130	766
57	1158	623
58	793	320
59	516	1098
60	991	1073
61	855	1068
62	971	1016
63	791	982
64	1081	901
65	1099	888
66	1050	858
67	1137	827
68	926	234
69	864	1096
70	879	1075
71	398	1051
72	759	1000
73	925	957
74	1046	947
75	1082	943
76	843	929
77	1176	803
78	1009	683
79	1106	569
80	1074	553
81	645	547
82	640	375
83	462	1213
84	952	1195
85	1037	1059
86	1008	964
87	950	955
88	1073	911
89	876	911
90	1160	901
91	1000	888
92	869	864
93	1031	846
94	351	833
95	975	725
96	917	719
97	1233	692
98	1039	635
99	998	603
100	1041	568
101	925	423
102	482	1109
103	970	1084
104	828	1014
105	964	997
106	973	978
107	729	965
108	967	963
109	780	961
110	1089	919
111	898	880
112	1104	870
113	983	859
114	880	848
115	1096	814
116	1007	811
117	996	804
118	1213	795
119	855	776
120	981	694
121	1005	644
122	439	600
123	1053	593
124	1086	575
125	909	573
126	961	508
127	1024	329
128	992	1102
129	771	1085
130	515	1072
131	1117	1068
132	1142	1052
133	536	1026
134	1192	1011
135	914	941
136	1065	925
137	896	917
138	852	911
139	906	894
140	1152	856
141	1124	833
142	1077	825
143	938	824
144	885	807
145	1011	790
146	1074	789
147	932	778
148	1021	772
149	1201	764
150	1043	730
151	1181	651
152	909	599
153	1159	596
154	1101	534
155	1055	1202
156	657	1120
157	685	1114
158	975	1108
159	1031	1072
160	888	1063
161	378	1064
162	518	1057
163	913	1052
164	455	1024
165	953	1022
166	356	1011
167	912	994
168	870	987
169	842	974
170	781	941
171	1096	931
172	793	884
173	967	873
174	859	843
175	1003	828
176	984	826
177	989	744
178	949	721
179	416	706
180	1120	690
181	634	677
182	936	631
183	853	615
184	1114	612
185	1082	610
186	1073	588
187	1119	579
188	857	484
189	1032	445
190	568	372
191	1177	337
192	1092	333
193	1187	326
194	515	163
195	441	1150
196	920	1098
197	574	1078
198	933	1058
199	1000	1055
200	964	1040
201	1183	1021
202	897	1010
203	663	992
204	678	991
205	900	980
206	702	963
207	659	961
208	797	928
209	1009	859
210	689	855
211	1076	805
212	798	804
213	924	795
214	956	784
215	1070	775
216	996	775
217	876	774
218	1083	766
219	836	766
220	1079	716
221	863	645
222	969	601
223	934	581
224	1050	539
225	899	537
226	851	458
227	941	447
228	366	438
229	1006	381
230	887	366
231	1060	330
232	784	1303
233	1039	1213
234	583	1164
235	753	1096
236	802	1076
237	950	1056
238	288	1053
239	948	1037
240	732	1009
241	614	968
242	303	967
243	638	963
