 	X	Y
1	1116	958
2	1177	928
3	1118	1132
4	1216	1051
5	1111	758
6	1156	1100
7	1154	1068
8	1178	852
9	1245	728
10	1194	694
11	1301	652
12	1195	897
13	983	944
14	1187	825
15	1137	547
16	1053	1148
17	990	1006
18	1069	457
19	1177	405
20	1112	467
21	1086	216
22	617	1099
23	1227	503
24	1178	316
25	1163	880
26	907	780
27	989	302
28	1040	998
29	853	1303
30	830	1278
31	807	1125
32	396	1048
33	797	320
34	1000	957
35	1027	936
36	1158	627
37	1105	604
38	995	1090
39	1019	1059
40	1000	1031
41	941	886
42	634	859
43	504	1267
44	1022	1039
45	440	597
46	984	475
47	685	1221
48	906	1080
49	1010	1076
50	852	1069
51	947	958
52	840	931
53	1049	862
54	929	237
55	913	183
56	876	1077
57	971	1060
58	788	985
59	1008	968
60	777	963
61	1098	891
62	878	851
63	1021	812
64	974	728
65	1087	578
66	644	375
67	967	1086
68	953	1082
69	989	1075
70	970	981
71	1080	947
72	1087	922
73	1000	892
74	1145	881
75	1144	843
76	1138	831
77	1130	769
78	980	697
79	1006	686
80	1018	683
81	648	679
82	1005	648
83	1000	606
84	1075	557
85	922	341
86	457	1211
87	948	1196
88	861	1097
89	512	1096
90	1034	1061
91	923	959
92	893	918
93	1072	914
94	849	912
95	923	905
96	1159	904
97	1034	842
98	838	828
99	1175	806
100	1041	733
101	1119	582
102	649	546
103	1103	536
104	928	425
105	1008	383
106	997	1058
107	969	1019
108	825	1014
109	961	1000
110	965	965
111	912	943
112	873	913
113	1079	904
114	718	886
115	790	885
116	897	883
117	1102	871
118	349	830
119	1097	818
120	1213	798
121	1072	791
122	1019	775
123	916	723
124	937	583
125	912	575
126	1042	572
127	1107	571
128	963	510
129	1026	332
130	904	299
131	438	1148
132	798	1077
133	1027	1074
134	1114	1070
135	885	1065
136	375	1061
137	1139	1055
138	516	1054
139	951	1024
140	451	1021
141	1190	1015
142	755	1001
143	908	994
144	676	990
145	839	974
146	1045	950
147	778	943
148	904	896
149	982	862
150	1001	830
151	1076	829
152	1006	814
153	1076	808
154	995	807
155	1011	794
156	852	778
157	988	747
158	1233	696
159	1120	694
160	855	616
161	1160	600
162	1051	542
163	1180	340
164	520	161
165	682	1112
166	972	1110
167	989	1103
168	750	1096
169	948	1058
170	962	1042
171	869	1007
172	867	990
173	1064	929
174	866	866
175	1151	859
176	958	847
177	883	808
178	1013	764
179	948	724
180	1080	720
181	957	693
182	1181	654
183	1040	638
184	971	603
185	912	601
186	1073	591
187	1060	578
188	963	521
189	944	450
190	1035	448
191	891	366
192	1052	1205
193	793	1140
194	488	1135
195	481	1121
196	813	1103
197	768	1086
198	777	1077
199	512	1069
200	910	1053
201	1130	1027
202	894	1012
203	771	972
204	727	965
205	698	962
206	1094	934
207	450	911
208	1103	909
209	811	896
210	965	876
211	1007	861
212	857	845
213	983	829
214	937	828
215	956	787
216	1201	767
217	950	764
218	1005	738
219	1140	668
220	865	648
221	939	634
222	1113	615
223	1082	613
224	1054	596
225	1016	524
226	859	487
227	854	462
228	1043	458
229	367	434
230	796	421
231	1095	337
232	1062	333
233	1189	329
234	359	322
235	773	237
236	781	1303
237	1037	1215
238	921	1195
239	579	1164
240	1013	1099
241	846	1089
242	481	1086
243	545	1066
244	285	1050
245	946	1039
246	1181	1025
247	533	1025
248	811	1014
249	729	1010
250	353	1008
251	637	997
252	659	991
253	611	966
254	300	964
255	832	952
256	567	950
257	795	929
258	512	882
259	1089	865
260	839	862
261	1122	836
262	909	812
263	1125	811
264	1059	810
265	793	805
266	1118	787
267	931	781
268	1069	778
269	995	778
